N_OVO;IDADE_AVES;P_OVO;AL_ALB;PH_ALB;P_ALB;%_ALB;P_GE;C_GE;%_GE;YH;YD;YI;HU;RK;F_Q;P_CA;E_CA;%_CA;OV;CL_PESO;L;B;I_FOR;CLA_I_FOR;VOL_OVO;S_OVO;OBS;TEMPO;DESTINACAO
1;53;70.6;10.0;8.0;45.867;64.97;18.433;6;26.11;18.8;41.7;0.451;97.3;AA;5.54;6.300;0.39;8.92;2;JUMBO;59.16;43.80;74.04;Padrão;59.80;62.66;casca_suja;0;Processamento
2;53;70.9;9.6;7.8;45.483;64.15;17.715;6;24.99;18.0;41.7;0.432;95.3;AA;4.94;7.702;0.43;10.86;1;JUMBO;59.47;44.67;75.11;Padrão;62.34;64.17;;0;Processamento
3;53;61.8;9.3;7.8;39.631;64.13;15.542;7;25.15;17.6;40.7;0.432;95.8;AA;5.11;6.627;0.40;10.72;2;EXTRA;59.24;45.30;76.47;Redondo;63.72;64.93;;0;Processamento
4;53;65.0;8.5;7.8;42.789;65.83;16.426;6;25.27;17.9;41.0;0.437;91.0;AA;4.23;5.785;0.39;8.90;2;EXTRA;56.53;43.30;76.60;Redondo;55.94;60.05;;0;Processamento
5;53;66.7;9.1;8.2;42.878;64.28;17.474;7;26.20;18.5;48.3;0.383;93.7;AA;4.83;6.348;0.42;9.52;1;EXTRA;56.19;43.15;76.79;Redondo;55.24;59.59;casca_suja;0;Processamento
6;53;65.4;7.4;8.1;41.095;62.84;17.281;5;26.42;16.6;42.3;0.392;84.6;AA;5.03;7.024;0.44;10.74;2;EXTRA;60.28;44.94;74.55;Padrão;63.89;65.15;;0;Processamento
7;53;58.5;8.9;8.1;35.954;61.46;16.708;8;28.56;19.3;41.3;0.467;94.6;AA;4.24;5.838;0.40;9.98;1;EXTRA;54.94;44.49;80.98;Redondo;57.16;60.54;;0;Processamento
8;53;67.5;7.9;8.2;44.767;66.32;16.951;6;25.11;18.4;43.3;0.425;87.1;AA;2.60;5.782;0.39;8.57;1;EXTRA;56.17;44.76;79.69;Redondo;59.10;61.86;;0;Processamento
9;53;70.3;7.6;7.7;43.189;61.44;19.969;7;28.41;18.4;43.0;0.428;84.5;AA;3.84;7.142;0.39;10.16;1;JUMBO;59.37;47.70;80.34;Redondo;70.22;68.58;casca_suja;0;Processamento
10;53;72.9;8.6;7.7;46.079;63.21;20.225;6;27.74;18.1;40.3;0.449;89.7;AA;5.14;6.596;0.39;9.05;1;JUMBO;59.69;47.78;80.05;Redondo;70.82;68.94;casca_suja;0;Descarte
11;53;73.7;6.3;7.8;52.946;71.84;14.592;7;19.80;18.0;45.0;0.400;74.5;AA;4.55;6.162;0.40;8.36;1;JUMBO;55.87;41.24;73.81;Padrão;50.50;56.66;;0;Processamento
12;53;73.4;8.6;7.8;49.349;67.23;18.032;7;24.57;18.4;45.7;0.403;89.6;AA;1.03;6.019;0.39;8.20;1;JUMBO;57.57;45.62;79.24;Redondo;62.73;64.16;;0;Processamento
